Focal_region,In_or_out,movement,total
"King County, Washington","Hernando County, Florida",MOVEDOUT,0
"King County, Washington","Hillsborough County, Florida",MOVEDIN,349
"King County, Washington","Hillsborough County, Florida",MOVEDOUT,168
"King County, Washington","Indian River County, Florida",MOVEDIN,30
"King County, Washington","Indian River County, Florida",MOVEDOUT,51
"King County, Washington","Lee County, Florida",MOVEDIN,73
"King County, Washington","Lee County, Florida",MOVEDOUT,11
"King County, Washington","Leon County, Florida",MOVEDIN,114
"King County, Washington","Leon County, Florida",MOVEDOUT,27
"King County, Washington","Manatee County, Florida",MOVEDIN,37
"King County, Washington","Manatee County, Florida",MOVEDOUT,21
"King County, Washington","Marion County, Florida",MOVEDIN,131
"King County, Washington","Marion County, Florida",MOVEDOUT,18
"King County, Washington","Martin County, Florida",MOVEDIN,17
"King County, Washington","Martin County, Florida",MOVEDOUT,22
"King County, Washington","Miami-Dade County, Florida",MOVEDIN,413
"King County, Washington","Miami-Dade County, Florida",MOVEDOUT,88
"King County, Washington","Monroe County, Florida",MOVEDIN,38
"King County, Washington","Monroe County, Florida",MOVEDOUT,21
"King County, Washington","Okaloosa County, Florida",MOVEDIN,46
"King County, Washington","Okaloosa County, Florida",MOVEDOUT,0
"King County, Washington","Orange County, Florida",MOVEDIN,411
"King County, Washington","Orange County, Florida",MOVEDOUT,111
"King County, Washington","Osceola County, Florida",MOVEDIN,0
"King County, Washington","Osceola County, Florida",MOVEDOUT,124
"King County, Washington","Palm Beach County, Florida",MOVEDIN,113
"King County, Washington","Palm Beach County, Florida",MOVEDOUT,94
"King County, Washington","Pasco County, Florida",MOVEDIN,114
"King County, Washington","Pasco County, Florida",MOVEDOUT,7
"King County, Washington","Pinellas County, Florida",MOVEDIN,232
"King County, Washington","Pinellas County, Florida",MOVEDOUT,181
"King County, Washington","Polk County, Florida",MOVEDIN,7
"King County, Washington","Polk County, Florida",MOVEDOUT,21
"King County, Washington","St. Johns County, Florida",MOVEDIN,90
"King County, Washington","St. Johns County, Florida",MOVEDOUT,0
"King County, Washington","St. Lucie County, Florida",MOVEDIN,38
"King County, Washington","St. Lucie County, Florida",MOVEDOUT,50
"King County, Washington","Sarasota County, Florida",MOVEDIN,60
"King County, Washington","Sarasota County, Florida",MOVEDOUT,0
"King County, Washington","Seminole County, Florida",MOVEDIN,0
"King County, Washington","Seminole County, Florida",MOVEDOUT,9
"King County, Washington","Suwannee County, Florida",MOVEDIN,97
"King County, Washington","Suwannee County, Florida",MOVEDOUT,0
"King County, Washington","Volusia County, Florida",MOVEDIN,115
"King County, Washington","Volusia County, Florida",MOVEDOUT,169
"King County, Washington","Wakulla County, Florida",MOVEDIN,21
"King County, Washington","Wakulla County, Florida",MOVEDOUT,15
"King County, Washington","Charlton County, Georgia",MOVEDIN,0
"King County, Washington","Charlton County, Georgia",MOVEDOUT,5
"King County, Washington","Chatham County, Georgia",MOVEDIN,39
"King County, Washington","Chatham County, Georgia",MOVEDOUT,29
"King County, Washington","Chattahoochee County, Georgia",MOVEDIN,0
"King County, Washington","Chattahoochee County, Georgia",MOVEDOUT,45
"King County, Washington","Cherokee County, Georgia",MOVEDIN,20
"King County, Washington","Cherokee County, Georgia",MOVEDOUT,0
"King County, Washington","Clarke County, Georgia",MOVEDIN,13
"King County, Washington","Clarke County, Georgia",MOVEDOUT,0
"King County, Washington","Cobb County, Georgia",MOVEDIN,445
"King County, Washington","Cobb County, Georgia",MOVEDOUT,79
"King County, Washington","Crawford County, Georgia",MOVEDIN,0
"King County, Washington","Crawford County, Georgia",MOVEDOUT,18
"King County, Washington","DeKalb County, Georgia",MOVEDIN,276
"King County, Washington","DeKalb County, Georgia",MOVEDOUT,163
"King County, Washington","Forsyth County, Georgia",MOVEDIN,0
"King County, Washington","Forsyth County, Georgia",MOVEDOUT,27
"King County, Washington","Fulton County, Georgia",MOVEDIN,278
"King County, Washington","Fulton County, Georgia",MOVEDOUT,139
"King County, Washington","Gwinnett County, Georgia",MOVEDIN,202
"King County, Washington","Gwinnett County, Georgia",MOVEDOUT,87
"King County, Washington","Habersham County, Georgia",MOVEDIN,0
"King County, Washington","Habersham County, Georgia",MOVEDOUT,2
"King County, Washington","Hall County, Georgia",MOVEDIN,51
"King County, Washington","Hall County, Georgia",MOVEDOUT,0
"King County, Washington","Houston County, Georgia",MOVEDIN,23
"King County, Washington","Houston County, Georgia",MOVEDOUT,0
"King County, Washington","Jeff Davis County, Georgia",MOVEDIN,239
"King County, Washington","Jeff Davis County, Georgia",MOVEDOUT,0
"King County, Washington","Lowndes County, Georgia",MOVEDIN,31
"King County, Washington","Lowndes County, Georgia",MOVEDOUT,0
"King County, Washington","Muscogee County, Georgia",MOVEDIN,0
"King County, Washington","Muscogee County, Georgia",MOVEDOUT,20
"King County, Washington","Paulding County, Georgia",MOVEDIN,78
"King County, Washington","Paulding County, Georgia",MOVEDOUT,0
"King County, Washington","Pike County, Georgia",MOVEDIN,0
"King County, Washington","Pike County, Georgia",MOVEDOUT,17
"King County, Washington","Richmond County, Georgia",MOVEDIN,0
"King County, Washington","Richmond County, Georgia",MOVEDOUT,21
"King County, Washington","Rockdale County, Georgia",MOVEDIN,0
"King County, Washington","Rockdale County, Georgia",MOVEDOUT,193
"King County, Washington","Stephens County, Georgia",MOVEDIN,0
"King County, Washington","Stephens County, Georgia",MOVEDOUT,5
"King County, Washington","Stewart County, Georgia",MOVEDIN,0
"King County, Washington","Stewart County, Georgia",MOVEDOUT,8
"King County, Washington","Walker County, Georgia",MOVEDIN,23
"King County, Washington","Walker County, Georgia",MOVEDOUT,0
"King County, Washington","Hawaii County, Hawaii",MOVEDIN,149
"King County, Washington","Hawaii County, Hawaii",MOVEDOUT,300
"King County, Washington","Honolulu County, Hawaii",MOVEDIN,879
"King County, Washington","Honolulu County, Hawaii",MOVEDOUT,860
"King County, Washington","Kauai County, Hawaii",MOVEDIN,83
"King County, Washington","Kauai County, Hawaii",MOVEDOUT,72
"King County, Washington","Maui County, Hawaii",MOVEDIN,173
"King County, Washington","Maui County, Hawaii",MOVEDOUT,117
"King County, Washington","Ada County, Idaho",MOVEDIN,438
"King County, Washington","Ada County, Idaho",MOVEDOUT,148
"King County, Washington","Bannock County, Idaho",MOVEDIN,18
"King County, Washington","Bannock County, Idaho",MOVEDOUT,15
"King County, Washington","Bear Lake County, Idaho",MOVEDIN,0
"King County, Washington","Bear Lake County, Idaho",MOVEDOUT,6
"King County, Washington","Benewah County, Idaho",MOVEDIN,0
"King County, Washington","Benewah County, Idaho",MOVEDOUT,3
"King County, Washington","Blaine County, Idaho",MOVEDIN,37
"King County, Washington","Blaine County, Idaho",MOVEDOUT,10
"King County, Washington","Bonneville County, Idaho",MOVEDIN,28
"King County, Washington","Bonneville County, Idaho",MOVEDOUT,33
"King County, Washington","Canyon County, Idaho",MOVEDIN,32
"King County, Washington","Canyon County, Idaho",MOVEDOUT,105
"King County, Washington","Caribou County, Idaho",MOVEDIN,26
"King County, Washington","Caribou County, Idaho",MOVEDOUT,0
"King County, Washington","Clark County, Idaho",MOVEDIN,0
"King County, Washington","Clark County, Idaho",MOVEDOUT,1
"King County, Washington","Clearwater County, Idaho",MOVEDIN,0
"King County, Washington","Clearwater County, Idaho",MOVEDOUT,2
"King County, Washington","Gem County, Idaho",MOVEDIN,0
"King County, Washington","Gem County, Idaho",MOVEDOUT,8
"King County, Washington","Idaho County, Idaho",MOVEDIN,51
"King County, Washington","Idaho County, Idaho",MOVEDOUT,39
"King County, Washington","Kootenai County, Idaho",MOVEDIN,272
"King County, Washington","Kootenai County, Idaho",MOVEDOUT,143
"King County, Washington","Latah County, Idaho",MOVEDIN,408
"King County, Washington","Latah County, Idaho",MOVEDOUT,146
"King County, Washington","Madison County, Idaho",MOVEDIN,88
